Subject,Predicate,Object
Alfred Hitchcock on Dead Bodies,dcterms:title,Alfred Hitchcock on Dead Bodies
Alfred Hitchcock on Dead Bodies,dcterms:type,Video – Animated video
Alfred Hitchcock on Dead Bodies,schema:creator,Blank on Blank
Alfred Hitchcock on Dead Bodies,dcterms:date,2017-03-07
Alfred Hitchcock on Dead Bodies,schema:publisher,Internet Archive
Alfred Hitchcock on Dead Bodies,dcterms:description,"Recorded audio from an interview with Colin Edwards in 1957 on Pacifica Radio, animated by Blank on Blank. Hitchcock discusses his view on terror and British irony."
Alfred Hitchcock on Dead Bodies,dcterms:relevance,Shows Hitchcock’s view on the genre and British humor; demonstrates his continued relevance.
Alfred Hitchcock on Dead Bodies,dcterms:conformsTo,https://archive.org/details/youtube-qspOvrVArjI
Alfred Hitchcock on Dead Bodies,schema:inLanguage,English
Alfred Hitchcock on Dead Bodies,schema:about,https://www.wikidata.org/wiki/Q7374
Alfred Hitchcock on Dead Bodies,schema:about,https://www.wikidata.org/wiki/Q5145067
Alfred Hitchcock on Dead Bodies,schema:about,https://www.wikidata.org/wiki/Q116897527
Alfred Hitchcock on Dead Bodies,schema:about,https://www.wikidata.org/wiki/Q2045587
Alfred Hitchcock on Dead Bodies,schema:provider,https://www.wikidata.org/wiki/Q461
Alfred Hitchcock on Dead Bodies,dcterms:subject,http://vocab.getty.edu/aat/300026392
Alfred Hitchcock on Dead Bodies,dcterms:subject,http://vocab.getty.edu/aat/300410317
Alfred Hitchcock on Dead Bodies,dcterms:subject,http://id.loc.gov/authorities/subjects/sh85043984
Alfred Hitchcock on Dead Bodies,dcterms:subject,http://vocab.getty.edu/aat/300375154

https://www.wikidata.org/wiki/Q7374,rdf:type,http://xmlns.com/foaf/spec/#term_Person
https://www.wikidata.org/wiki/Q5145067,rdf:type,http://xmlns.com/foaf/spec/#term_Person
https://www.wikidata.org/wiki/Q5145067,schema:author,http://vocab.getty.edu/aat/300026392
https://www.wikidata.org/wiki/Q116897527,rdf:type,https://schema.org/Organization
http://vocab.getty.edu/aat/300410317,rdf:type,https://schema.org/VideoObject
http://vocab.getty.edu/aat/300026392,rdf:type,https://schema.org/CreativeWork
http://vocab.getty.edu/aat/300375154,rdf:type,https://schema.org/genre
http://id.loc.gov/authorities/subjects/sh85043984,rdf:type,https://id.loc.gov/resources/works/10652971.html
