Subject,Predicate,Object
Truffaut/Hitchcock (1966),dcterms:title,Truffaut/Hitchcock (Le Cinéma selon Alfred Hitchcock)
Truffaut/Hitchcock (1966),rdf:type,Text – Book
Truffaut/Hitchcock (1966),schema:author,[François Truffaut](http://viaf.org/viaf/102375575)
Truffaut/Hitchcock (1966),schema:about,[Alfred Hitchcock](https://www.wikidata.org/wiki/Q7374)
Truffaut/Hitchcock (1966),dcterms:date,1966
Truffaut/Hitchcock (1966),dcterms:publisher,[Éditions Robert Laffont](https://www.wikidata.org/wiki/Q2696397)
Truffaut/Hitchcock (1966),dcterms:provenance,[Internet Archive](https://www.wikidata.org/wiki/Q461)
Truffaut/Hitchcock (1966),dcterms:description,Book by Truffaut documenting a week-long conversation with Hitchcock reflecting on his career and film techniques.
Truffaut/Hitchcock (1966),schema:encodingFormat,MARC21 Format for Bibliographic data
Truffaut/Hitchcock (1966),dcterms:subject, Alfred Hitchcock
Truffaut/Hitchcock (1966),dcterms:subject,"[Suspense in motion pictures, television, etc.](https://id.loc.gov/authorities/subjects/sh95007658.html)"
Truffaut/Hitchcock (1966),dcterms:subject,[Motion picture industry](https://id.loc.gov/authorities/subjects/sh85088047.html)
Truffaut/Hitchcock (1966),dcterms:subject,[Movie directors](http://vocab.getty.edu/aat/300312209)
Truffaut/Hitchcock (1966),dcterms:subject,[Interview](http://vocab.getty.edu/aat/300026392)
