Subject,Predicate,Object
Psycho – the Screenplay (1960),dcterms:title,"Psycho – the Screenplay"
Psycho – the Screenplay (1960),rdf:type,Text – Movie script
Psycho – the Screenplay (1960),schema:author,http://viaf.org/viaf/46961739
Psycho – the Screenplay (1960),schema:director,https://www.wikidata.org/wiki/Q7374
Psycho – the Screenplay (1960),dcterms:date,"1960"
Psycho - the Screenplay (1960),dcterms:language,English
Psycho – the Screenplay (1960),frbr:realizationOf,"Psycho"
Psycho – the Screenplay (1960),dcterms:provenance,https://www.wikidata.org/wiki/Q461
Psycho – the Screenplay (1960),dcterms:description,"Psycho script scan showing Hitchcock's detailed approach to atmosphere and visual storytelling."
Psycho – the Screenplay (1960),schema:encodingFormat,"Internet Archive metadata model"
Psycho - the Screenplay (1960),schema:isPartOf,http://vocab.getty.edu/aat/300263876
Psycho – the Screenplay (1960),dcterms:subject,http://id.loc.gov/authorities/subjects/sh85088064
Psycho – the Screenplay (1960),dcterms:subject,http://id.loc.gov/authorities/subjects/sh2008005607
Psycho – the Screenplay (1960),schema:about,https://www.wikidata.org/wiki/Q193146
Psycho – the Screenplay (1960),schema:character,https://www.wikidata.org/wiki/Q2467893
Psycho – the Screenplay (1960),schema:character,https://www.wikidata.org/wiki/Q6765157
Psycho – the Screenplay (1960),schema:actor,https://www.wikidata.org/wiki/Q193146
Psycho – the Screenplay (1960),schema:actor,https://www.wikidata.org/wiki/Q205314

