Subject,Predicate,Object
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/title,"Truffaut/Hitchcock (Le Cinéma selon Alfred Hitchcock)"
https://id.loc.gov/authorities/subjects/sh95007658, http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://id.loc.gov/authorities/subjects/sh95007658, https://schema.org/author,https://viaf.org/viaf/102375575
https://id.loc.gov/authorities/subjects/sh95007658, https://schema.org/about,https://www.wikidata.org/wiki/Q7374
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/date,"1966"
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/publisher,https://www.wikidata.org/wiki/Q2696397
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/provenance,https://www.wikidata.org/wiki/Q461
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/description,"Book by Truffaut documenting a week-long conversation with Hitchcock reflecting on his career and film techniques."
https://id.loc.gov/authorities/subjects/sh95007658, https://schema.org/encodingFormat,http://www.loc.gov/MARC21/slim
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/subject,https://www.wikidata.org/wiki/Q7374
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/subject,https://id.loc.gov/authorities/subjects/sh95007658
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/subject,https://id.loc.gov/authorities/subjects/sh85088047
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/subject,http://vocab.getty.edu/aat/300312209
https://id.loc.gov/authorities/subjects/sh95007658, http://purl.org/dc/terms/subject,http://vocab.getty.edu/aat/300026392

https://www.wikidata.org/wiki/Q53002, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://xmlns.com/foaf/0.1/Person
https://www.wikidata.org/wiki/Q7374, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://xmlns.com/foaf/0.1/Person
https://id.loc.gov/authorities/subjects/sh95007658, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, https://schema.org/genre
http://vocab.getty.edu/aat/300026392, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, https://schema.org/CreativeWork
http://vocab.getty.edu/aat/300026392, https://schema.org/isPartOf, https://www.wikidata.org/wiki/Q1951421
http://vocab.getty.edu/aat/300026392, https://schema.org/about, https://id.loc.gov/authorities/subjects/sh95007658
